source_sheet,code,occurrences
FG inventory,500C1191F,3
FG inventory,500C1271,2
FG inventory,500C3181F1,2
FG inventory,500C3331,2
FG inventory,510C1291IM,2
FG inventory,510C2031,2
FG inventory,510C2294,2
FG inventory,510C2295,3
FG inventory,510C3381,2
FG inventory,510C6031,2
FG inventory,510D0042F1,2
FG inventory,510D3002,3
FG inventory,710C0002ST,2
FG inventory,710C0021,2
FG inventory,710C0032F,2
FG inventory,710C009XF,2
FG inventory,710C1001MT,2
FG inventory,710C1031EDS,2
FG inventory,710C2003FA,3
FG inventory,710C3003F,2
FG inventory,710C3031IM,2
FG inventory,710C3033F,2
FG inventory,710C3036,2
FG inventory,710C3081FA,3
FG inventory,710C3083F,2
FG inventory,710D2004F,2
FG inventory,710D2284F3,2
FG inventory,710D2294F3,2
FG inventory,710D2384F3,2
FG inventory,710D3004F,2
FG inventory,711C0002M,2
FG inventory,711C0092F,2
FG inventory,711C2381F,2
FG inventory,711C3002M,2
FG inventory,711D1004,2
FG inventory,711D3008,2
FG inventory,711D3008IM,2
FG inventory,720C0081,2
FG inventory,720C3003F,2
FG inventory,720D0001F4,2
FG inventory,720D2002F,4
FG inventory,720D4031F4,2
FG inventory,721C0001F,2
FG inventory,721C1002,2
FG inventory,721C3002HS,2
FG inventory,722D1101HSIM,2
FG inventory,730C2093LS,2
FG inventory,730C2095,2
FG inventory,730C3083,2
FG inventory,730C3091F1,2
FG inventory,730C5001,2
FG inventory,730D1033F4,3
FG inventory,750C003160M,2
FG inventory,750C0082F,2
FG inventory,750C1001,2
FG inventory,760C0001,2
FG inventory,760C6002,2
FG inventory,770D2002,2
FG inventory,790C0031,2
FG inventory,900C0082,2
FG inventory,900C0096,2
FG inventory,901C0081F,3
FG inventory,901C0082,2
FG inventory,901C0083,2
FG inventory,901C1001,2
FG inventory,901C2001,2
FG inventory,901D002,2
FG inventory,910C2031,2
FG inventory,910C2032,2
FG inventory,910C3031,2
FG inventory,L/OLD,2
FG inventory,OTHERS,3
FG inventory,TRANSFER,2
